US20030122874A1: (dynamic, document, )
US20030122874A1: (view, , least)
US20030122874A1: (include, document, )
US20030122874A1: (abstract, , representation)
US20030122874A1: (search term, , density distribution)
US20030122874A1: (summary, document, )
US20030122874A1: (cursor, computer program, )
US20030122874A1: (product, computer program, )
US20030122874A1: (medium, , program instruction)
US20030122874A1: (code, , mean)
US20020140722A1: (video, apparatus, )
US20020140722A1: (store, , least)
US20020140722A1: (one, main, )
US20020140722A1: (list, main, )
US20020140722A1: (list, character, )
US20020140722A1: (select, character, )
US20020140722A1: (store, character, least)
US20020140722A1: (store, character, )
US20020140722A1: (work, list memory, )
US20020140722A1: (couple, electrically, )
US20020140722A1: (execute, central processing unit, )
US20020140722A1: (execute, software program, )
US20020140722A1: (function, software program, )
US20020140722A1: (memory, character, )
US20020140722A1: (correspond, camera view, )
US20020140722A1: (location, camera view, )
US20020140722A1: (location, video system, )
US20020140722A1: (store, first memory, least)
US20020140722A1: (store, first memory, )
US20020140722A1: (list, first memory, )
US20020140722A1: (first, central processing unit, )
US20020140722A1: (couple, first memory, )
US20020140722A1: (input device, first memory, )
US20020140722A1: (execute, first software, )
US20020140722A1: (program, first software, )
US20020140722A1: (selection, , specific)
US20020140722A1: (first, character, )
US20020140722A1: (work, first memory, )
US20020140722A1: (couple, first device, operable)
US20020140722A1: (couple, first device, )
US20020140722A1: (list, , operable)
US20020140722A1: (program, camera view, )
US20020140722A1: (store, second memory, least)
US20020140722A1: (store, second memory, )
US20020140722A1: (work, character, )
US20020140722A1: (second, central processing unit, )
US20020140722A1: (couple, second memory, )
US20020140722A1: (input device, second memory, )
US20020140722A1: (second, software program, )
US20020140722A1: (correspond, second memory, programmed)
US20020140722A1: (store, character, )
US20020140722A1: (select, character, )
US20020140722A1: (list, second memory, )
US20020140722A1: (correspond, second memory, )
US20020140722A1: (correspond, , programmed)
US20020140722A1: (control, camera view, )
US20020140722A1: (control, video system, )
US20020140722A1: (view, camera location, programmed)
US20020140722A1: (assign, character, )
US20020140722A1: (view, camera location, )
US20020140722A1: (view, , programmed)
===========================
US20050160249A1: (determine, , volume type)
US20050160249A1: (determine, , superficial)
US20050160249A1: (characteristic, , unknown)
US20050160249A1: (present, disk, )
US20050160249A1: (identify, information, volume type)
US20050160249A1: (volume, , contains)
US20050160249A1: (identify, information, )
US20050160249A1: (identify, , volume type)
US20050160249A1: (indicate, , volume type)
US20050160249A1: (size, storage unit, )
US20050160249A1: (occupy, extent, )
US20050160249A1: (volume, , actual)
US20050160249A1: (sum, storage unit, )
US20050160249A1: (indicate, storage unit, volume type)
US20050160249A1: (determine, storage unit, )
US20050160249A1: (indicate, storage unit, )
US20050160249A1: (sum, storage unit, )
US20050160249A1: (one, , volume type)
US20030023811A1: (manage, , logical)
US20030023811A1: (online, , resize)
US20030023811A1: (size, metadata, )
US20030023811A1: (create, , logical)
US20030023811A1: (round, disk, )
US20030023811A1: (partition, disk, )
US20030023811A1: (construct, , logical)
US20030023811A1: (volume, physical storage, )
US20030023811A1: (space, physical storage, )
US20030023811A1: (include, information, logical)
US20030023811A1: (partition, disk, logical)
US20030023811A1: (generate, metadata, )
US20030023811A1: (include, metadata, )
US20030023811A1: (include, information, )
US20030023811A1: (volume, disk, )
US20030023811A1: (partition, , logical)
US20030023811A1: (store, disk, )
US20030023811A1: (request, , resize)
US20030023811A1: (modify, metadata, )
US20030023811A1: (correspond, physical address, logical)
US20030023811A1: (return, physical address, )
US20030023811A1: (correspond, physical address, )
US20030023811A1: (correspond, logical address, )
US20030023811A1: (volume, logical address, )
US20030023811A1: (use, mapping information, )
US20030023811A1: (contain, metadata, )
US20030023811A1: (contain, information, )
US20030023811A1: (correspond, , logical)
US20030023811A1: (execute, , logical)
