id saoNumber fopNumber
US20030122874A1 10 10
US20020140722A1 20 51
US20050160249A1 6 18
US20030023811A1 22 51
US20070027696A1 51 104
US20020172190A1 10 30
US20060106679A1 43 28
US20040111525A1 5 17
US20020143819A1 27 95
US20040100495A1 42 30
US20040225967A1 19 38
US20060059413A1 12 24
US20010049707A1 6 29
US20030004936A1 39 132
US20040122793A1 3 7
US20020124245A1 88 150
US20040168156A1 29 15
US20020199172A1 24 89
US20030090707A1 10 22
US20060225015A1 17 17
US20050268268A1 5 23
US20050177792A1 11 31
US20040205772A1 36 108
US20050036596A1 7 27
US20010040885A1 134 156
US20060118755A1 17 13
US20020036884A1 23 46
US20040268218A1 24 111
US20040034521A1 19 45
US20040087299A1 8 11
US20050027709A1 3 6
US20050097143A1 6 17
US20010020245A1 15 21
US20050138072A1 15 18
US20030163438A1 40 40
US20060004825A1 20 25
US20020138615A1 4 5
US20060079945A1 4 7
US20040193231A1 3 8
US20050059994A1 9 20
US20050102554A1 24 34
US20040250029A1 5 18
US20050114321A1 11 14
US20030120593A1 1 11
US20040064514A1 11 14
US06912564B1 14 35
US20060193594A1 6 34
US20050111800A1 9 58
US20050273766A1 10 15
US20020138640A1 19 36
US08694494B2 40 53
US20040267740A1 19 42
US20060062626A1 1 40
US20030083020A1 2 28
US20030198007A1 7 24
US06924789B2 24 18
US20050237229A1 7 16
US20050132160A1 14 17
US20040123092A1 16 39
US08095826B1 19 18
US20020194244A1 8 14
US20040224641A1 3 30
US20080028750A1 9 29
US20050109014A1 4 22
US20070019026A1 22 60
US20030095810A1 17 23
US20050260004A1 6 31
US20050208943A1 11 69
US20020160785A1 29 44
US20040157600A1 9 32
US20040203792A1 62 48
US20050066292A1 8 7
US20040066414A1 14 28
US08073879B2 15 40
US20040039964A1 5 6
US20050160108A1 19 44
US20030136505A1 20 92
US20050242059A1 9 20
US06919162B1 3 5
US20040260620A1 22 43
US20030033205A1 25 52
US20020120588A1 13 37
US20060099963A1 7 30
US20030137435A1 108 170
US20010018349A1 15 74
US20020167945A1 11 15
US20030189922A1 10 30
US20040065252A1 21 24
US20040029041A1 25 19
US10773000B2 30 134
US5683875A 9 28
US5821095A 4 9
US20030043921A1 19 50
US20040028129A1 13 29
US20040126030A1 13 32
US20050107838A1 4 35
US20020035380A1 16 36
US20030153953A1 6 54
US20030195571A1 7 28
US20040138719A1 18 55
US20050085865A1 14 90
US20060140406A1 4 39
US20030215640A1 18 76
US20020025427A1 14 48
US20030003284A1 11 50
US08112544B2 23 21
US20020024536A1 29 44
US20050097407A1 5 16
US06966060B1 10 32
US20060103622A1 22 48
US20020154150A1 2 14
US20040038122A1 18 28
US20020081491A1 36 46
US08754948B2 14 19
US20030048361A1 10 32
US20050041946A1 21 66
US20030118310A1 17 18
US20010026670A1 13 18
US20060187222A1 19 102
US20020021418A1 6 21
US20050162737A1 26 38
US20050225684A1 19 36
US20040189693A1 5 8
US20040172466A1 6 13
US20040221022A1 3 13
US20020188643A1 42 31
US20050132275A1 10 7
US20030023435A1 6 9
US20040181537A1 13 38
US20030093436A1 13 8
US20050044164A1 25 38
US20050172280A1 16 18
US07000230B1 66 69
US07146640B2 26 49
US20050223027A1 21 64
US20020059425A1 22 53
US20020178383A1 8 35
US20040187075A1 36 89
US20050033803A1 29 170
US20060100989A1 24 42
US20050228768A1 6 3
US07016910B2 23 29
US20030061245A1 10 22
US20020073089A1 10 35
US20020103815A1 20 44
US20030210262A1 47 42
US20020021828A1 34 33
US20050286150A1 5 16
US20030086200A1 12 29
US20050049843A1 32 174
US20020010667A1 26 48
US20020087828A1 8 24
US20030229482A1 55 110
US20050154848A1 14 23
US20070130222A1 22 18
US20020074975A1 29 60
US20030021132A1 1 8
US20020083080A1 15 49
US20020039990A1 46 110
US20040122786A1 21 31
US06988093B2 36 34
US20050209694A1 16 44
US20050119657A1 5 36
US20030195624A1 3 13
US20030220875A1 14 14
US20010047316A1 12 18
US20050022991A1 31 38
US6913643B2 2 7
US08024366B2 40 84
US20020040475A1 4 24
US20020082998A1 5 18
US20020138517A1 55 26
US20040192269A1 11 36
US20040137886A1 5 25
US20020013153A1 2 18
US10165079B2 40 150
US20020078202A1 16 22
US20030167404A1 11 28
US06981158B1 43 79
US20040002959A1 19 12
US20030071837A1 22 28
US20060111145A1 7 48
US20020156909A1 51 150
US07958289B2 12 12
US20010054131A1 248 168
US20040068553A1 23 38
US20030110242A1 8 11
US20040165010A1 18 18
US20020101418A1 8 15
US20040230943A1 14 31
US06950990B2 22 57
US20040002844A1 37 67
US20020016704A1 19 33
US20040216139A1 9 68
US07054901B2 31 34
US20020143865A1 63 45
US20040205666A1 11 17
US20040162842A1 26 39
US20040181515A1 7 7
US06839702B1 29 37
US20050044505A1 3 14
US20010020928A1 34 28
US20030005193A1 10 26
US20050108389A1 27 49
US20040010716A1 5 9
US20040221283A1 4 22
US20020144098A1 3 13
US20040015934A1 20 20
US20040260717A1 21 60
US20020184401A1 48 73
US06956593B1 56 71
US20050191445A1 14 13
US07086732B2 20 18
US20020143823A1 8 22
US20020052893A1 23 28
US07890999B2 20 18
US20020144156A1 16 19
US20050033782A1 2 7
US20030122776A1 10 16
US20050160057A1 6 16
US20030208388A1 58 49
US20050136983A1 10 18
US20050113075A1 15 19
US20040267122A1 8 20
US20040077952A1 9 39
US20030016852A1 16 54
US10696942B2 11 72
US20030130899A1 312 80
US20030158795A1 57 99
US20040243998A1 5 16
US20040243828A1 41 35
US20030187993A1 36 61
US20050095943A1 12 46
US20040121110A1 2 6
US20050079987A1 11 10
US20060138195A1 13 33
US20050102303A1 15 21
US20050055369A1 12 18
US20050084152A1 18 23
US20060095368A1 7 18
US20050100779A1 10 12
US20040197638A1 12 34
US20050021704A1 2 5
US20020007464A1 13 26
US20050076283A1 11 21
US20040228320A1 9 32
US20040122702A1 38 84
US20010023419A1 109 106
US20020029157A1 53 80
US07996268B2 14 66
US20010011248A1 10 48
US20020077993A1 16 46
US20040243477A1 9 13
US08131702B1 6 46
